web-scraper-order,web-scraper-start-url,name,price,link,link-href
"1597442363-1135","https://www.bitfang.com/computer-hardware","ADATA Premier ASP900NS38-256GM-C ...","₹ 11,969","","https://www.bitfang.com/adata-asp900ns38-256gm-c-premier-256-gb-solid-state-drive"
"1597442363-278","https://www.bitfang.com/computer-hardware","Asus PRIME-X570-P/CSM AM4 AMD X57...","₹ 16,268","","https://www.bitfang.com/asus-prime-x570-pcsm-am4-amd-x570-ddr4-atx-amd-desktop-motherboard"
"1597442363-91","https://www.bitfang.com/computer-hardware","AMD Ryzen 7 RYZEN-7-3700X 8-Core ...","₹ 29,392","","https://www.bitfang.com/amd-ryzen-7-ryzen-7-3700x-8-core-36-ghz-am4-desktop-processor"
"1597442363-181","https://www.bitfang.com/computer-hardware","Asus EX-B460M-V5 LGA 1200 Intel B...","₹ 9,300","","https://www.bitfang.com/asus-ex-b460m-v5-lga-1200-intel-b460-ddr4-micro-atx-intel-desktop-motherboard"
"1597442363-664","https://www.bitfang.com/computer-hardware","ADATA ASD600Q-240GU31-CBL 240 GB ...","₹ 3,222","","https://www.bitfang.com/adata-asd600q-240gu31-cbl-240-gb-nand-flash-25-in-ssds"
"1597442363-1315","https://www.bitfang.com/computer-hardware","Lapcare LS 402 4 Outlets Spike Gu...","₹ 702","","https://www.bitfang.com/lapcare-ls-402-4-outlets-spike-guard"
"1597442363-186","https://www.bitfang.com/computer-hardware","Asus ROG-STRIX-RX5600XT-O6G-GAMIN...","₹ 34,899","","https://www.bitfang.com/asus-rog-strix-rx5600xt-o6g-gaming-radeon-rx-5000-pci-express-40-graphic-card"
"1597442363-217","https://www.bitfang.com/computer-hardware","Gskill F4-3200C16D-64GTZN 64GB 32...","₹ 35,400","","https://www.bitfang.com/gskill-f4-3200c16d-64gtzn-64gb-3200-mhz-ddr4-desktop-memory"
"1597442363-529","https://www.bitfang.com/computer-hardware","Corsair CW-9060038-WW Intel/AMD C...","₹ 13,133","","https://www.bitfang.com/corsair-cw-9060038-ww-intelamd-copper-2000-rpm-cpu-cooler"
"1597442363-158","https://www.bitfang.com/computer-hardware","Gigabyte Z490-AORUS-ELITE-AC LGA ...","₹ 22,939","","https://www.bitfang.com/gigabyte-z490-aorus-elite-ac-lga-1200-intel-z490-ddr4-atx-intel-desktop-motherboard"
"1597442363-937","https://www.bitfang.com/computer-hardware","Belkin F9K1003 Wireless 4  450 Mb...","₹ 11,582","","https://www.bitfang.com/belkin-f9k1003-10100-mbps-4"
"1597442363-85","https://www.bitfang.com/computer-hardware","Adata AD4U2400J4G17-B 4 GB 2400 M...","₹ 1,764","","https://www.bitfang.com/adata-ad4u2400j4g17-b-4-gb-2400-mhz-ddr4-desktop-memory"
"1597442363-989","https://www.bitfang.com/computer-hardware","Dell 15R(N5010D-278) Laptop Batte...","₹ 1,999","","https://www.bitfang.com/dell-15rn5010d-278-battery-black"
"1597442363-34","https://www.bitfang.com/computer-hardware","INNO3D N20802-08D6-1180633 GeForc...","₹ 60,081","","https://www.bitfang.com/inno3d-n20802-08d6-1180633-geforce-pci-express-30-graphic-card"
"1597442363-1107","https://www.bitfang.com/computer-hardware","Adata AX4U240038G16-SBF 8GB 2400M...","₹ 21,100","","https://www.bitfang.com/data-ax4u240038g16-sbf-8-gb-2400-mhz-ddr4-desktop-ram"
"1597442363-478","https://www.bitfang.com/computer-hardware","Asus ROG STRIX B450-F GAMING AM4 ...","₹ 11,367","","https://www.bitfang.com/asus-rog-strix-b450-f-gaming-am4-amd-b450-ddr4-atx-amd-desktop-motherboard"
"1597442363-1138","https://www.bitfang.com/computer-hardware","ADATA SD700 ASD700-256GU3-CYL 256...","₹ 4,184","","https://www.bitfang.com/adata-asd700-256gu3-cyl-sd700-256-gb-external-solid-state-drive"
"1597442363-65","https://www.bitfang.com/computer-hardware","Thermaltake R009D408GX2-3200C16A ...","₹ 9,899","","https://www.bitfang.com/thermaltake-r009d408gx2-3200c16a-16gb-3200-mhz-ddr4-desktop-memory"
"1597442363-1297","https://www.bitfang.com/computer-hardware","Ultra Prolink MP461 0.06 mtr HDMI...","₹ 7,252","","https://www.bitfang.com/ultra-prolink-mp461-hdmi-cable"
"1597442363-870","https://www.bitfang.com/computer-hardware","Zebronics SPK-BTM9600RUCF 2.0 Cha...","₹ 16,851","","https://www.bitfang.com/m-zeb-20-computer-multimedia-speaker-4"
"1597442363-847","https://www.bitfang.com/computer-hardware","Zebronics Cuba Bt RUCF 5.1 Channe...","₹ 5,263","","https://www.bitfang.com/zebronics-cuba-bt-rucf-51-multimedia-speaker"
"1597442363-249","https://www.bitfang.com/computer-hardware","MSI X570EDGEWIFI AM4 AMD X570 DDR...","₹ 18,473","","https://www.bitfang.com/msi-x570edgewifi-am4-amd-x570-ddr4-atx-amd-desktop-motherboard"
"1597442363-779","https://www.bitfang.com/computer-hardware","Asus PA329Q Nvidia G-Sync Flat Sc...","₹ 1,17,849","","https://www.bitfang.com/asus-proart-pa329q-32-inch-5ms-uhd-pro-monitor"
"1597442363-300","https://www.bitfang.com/computer-hardware","Linksys E1200 Wireless 4 300 Mbps...","₹ 2,749","","https://www.bitfang.com/linksys-e1200-wireless-4-300-mbps-single-band-4-lan-wireless-router"
"1597442363-210","https://www.bitfang.com/computer-hardware","Gskill F4-3600C18D-32GTZN 32GB 36...","₹ 20,400","","https://www.bitfang.com/gskill-f4-3600c18d-32gtzn-32gb-3600-mhz-ddr4-desktop-memory"
"1597442363-540","https://www.bitfang.com/computer-hardware","Amkette Power Pro 1.5 mtr Chargin...","₹ 330","","https://www.bitfang.com/amkette-power-pro-usb-cable-15-mtr-charging-cable"
