web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,name,price,link,link-href,instock
"1597508993-2126","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Deepcool Gammaxx L120T Red All in One 120mm CPU Liquid Cooler (DP-H12RF-GL120TR)","₹3,642","Deepcool Gammaxx L120T Red All in One 120mm CPU Liquid Cooler (DP-H12RF-GL120TR)","https://mdcomputers.in/deepcool-gammaxx-l120t-red-dp-h12rf-gl120tr.html","null"
"1597508858-1807","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","3","https://mdcomputers.in/storage?page=3","Lexar NM100 512GB M.2 Internal SSD (LNM100-512RB)","₹6,246","Lexar NM100 512GB M.2 Internal SSD (LNM100-512RB)","https://mdcomputers.in/lexar-m.2-lnm100-512rb.html","null"
"1597508874-1860","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","ADATA AX4U360038G18A-DT50 Desktop Ram XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3600MHz RGB","₹10,100","ADATA AX4U360038G18A-DT50 Desktop Ram XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3600MHz RGB","https://mdcomputers.in/adata-xpg-spectrix-d50-16gb-ddr4-3600mhz-ax4u360038g18a-dt50.html","null"
"1597508993-2125","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Deepcool Gammaxx L120T Blue All In One 120mm CPU Liquid Cooler (DP-H12RF-GL120TB)","₹3,815","Deepcool Gammaxx L120T Blue All In One 120mm CPU Liquid Cooler (DP-H12RF-GL120TB)","https://mdcomputers.in/deepcool-gammaxx-l120t-blue-dp-h12rf-gl120tb.html","null"
"1597509040-4122","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XF Hardline 90° 14mm OD Fittings Twin Pack (Black)","₹2,326","CORSAIR Hydro X Series XF Hardline 90° 14mm OD Fittings Twin Pack (Black)","https://mdcomputers.in/corsair-xf-hl-90-14mm-black-cx-9052015-ww.html","null"
"1597508897-1915","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-2400C17S-4GVR Desktop Ram Ripjaws V Series 4GB (4GBx1) DDR4 2400MHz Red","₹2,225","G.Skill F4-2400C17S-4GVR Desktop Ram Ripjaws V Series 4GB (4GBx1) DDR4 2400MHz Red","https://mdcomputers.in/g-skill-ripjaws-v-4gb-ddr4-2400mhz-f4-2400c17s-4gvr.html","null"
"1597508954-2042","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","3","https://mdcomputers.in/motherboards?page=3","Gigabyte GA-H61M-S Motherboard (Intel Socket 1155/3rd Generation Core Series CPU/Max 16GB DDR3-1333MHz Memory)","₹5,610","Gigabyte GA-H61M-S Motherboard (Intel Socket 1155/3rd Generation Core Series CPU/Max 16GB DDR3-1333MHz Memory)","https://mdcomputers.in/gigabyte-ga-h61m-s-rev-1-0.html","null"
"1597508623-1245","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","","","Acer EB321HQU - 32 Inch Gaming Monitor (4ms Response Time, Frameless, 2K WQHD IPS Panel, DVI, HDMI, DisplayPort)","₹18,347","Acer EB321HQU - 32 Inch Gaming Monitor (4ms Response Time, Frameless, 2K WQHD IPS Panel, DVI, HDMI, DisplayPort)","https://mdcomputers.in/acer-32-inch-eb321hqu.html","Out Of Stock"
"1597508690-1469","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","4","https://mdcomputers.in/cabinet?page=4","Thermaltake Commander C31 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","₹7,372","Thermaltake Commander C31 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","https://mdcomputers.in/thermaltake-commander-c31-tg-argb-ca-1n2-00m1wn-00.html","null"
"1597509033-4079","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","3","https://mdcomputers.in/corsair-hydro-x.html?page=3","CORSAIR Hydro X Series XR7 480mm Water Cooling Radiator","₹14,670","CORSAIR Hydro X Series XR7 480mm Water Cooling Radiator","https://mdcomputers.in/corsair-hydro-x-xr7-480mm-cx-9030006-ww.html","null"
