web-scraper-order,web-scraper-start-url,page,page-href,name,price,stock,link,link-href
"1597510563-6850","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/8/?post_type=product&taxonomy=product_cat&s","MSI MEG Z490 GODLIKE Intel Z490 E-ATX Motherboard","₹102,055 ₹81,644","null","MSI MEG Z490 GODLIKE Intel Z490 E-ATX Motherboard","https://www.primeabgb.com/online-price-reviews-india/msi-meg-z490-godlike-intel-z490-e-atx-motherboard/"
"1597509778-5457","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/55/?post_type=product&taxonomy=product_cat&s","G.SKILL Value 8GB DDR3 1600 (PC3 12800) Desktop Memory F3-1600C11S-8GNT","₹2,934 ₹2,159","Sold Out","G.SKILL Value 8GB DDR3 1600 (PC3 12800) Desktop Memory F3-1600C11S-8GNT","https://www.primeabgb.com/online-price-reviews-india/g-skill-value-8gb-ddr3-1600-pc3-12800-desktop-memory-f3-1600c11s-8gnt/"
"1597509574-5094","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/67/?post_type=product&taxonomy=product_cat&s","ASUS Phoenix GT 1030 OC edition 2GB graphic Card PH-GT1030-O2GD4","₹10,500 ₹6,900","null","ASUS Phoenix GT 1030 OC edition 2GB graphic Card PH-GT1030-O2GD4","https://www.primeabgb.com/online-price-reviews-india/asus-phoenix-gt-1030-oc-edition-2gb-graphic-card-ph-gt1030-o2gd4/"
"1597509347-4658","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/81/?post_type=product&taxonomy=product_cat&s","Sapphire PULSE AMD Radeon RX 580 8G GDDR5 Graphic Card 11265-05-20G","₹24,500 ₹16,800","Sold Out","Sapphire PULSE AMD Radeon RX 580 8G GDDR5 Graphic Card 11265-05-20G","https://www.primeabgb.com/online-price-reviews-india/sapphire-pulse-amd-radeon-rx-580-8g-gddr5-graphic-card-11265-05-20g/"
"1597510627-6986","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/4/?post_type=product&taxonomy=product_cat&s","Cooler Master Case Maker 5t ATX Gaming Tempered Glass Side Panels MCZ-C5M2T-RW5N","₹25,999 ₹21,800","null","Cooler Master Case Maker 5t ATX Gaming Tempered Glass Side Panels MCZ-C5M2T-RW5N","https://www.primeabgb.com/online-price-reviews-india/cooler-master-case-maker-5t-atx-gaming-tempered-glass-side-panels-mcz-c5m2t-rw5n/"
"1597510491-6742","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/12/?post_type=product&taxonomy=product_cat&s","Lenovo Ideapad S145 Pentium Gold 5405U 15.6 inch 4GB RAM, 1TB HDD Black HD Thin & Light Laptop","₹28,999 ₹23,149","null","Lenovo Ideapad S145 Pentium Gold 5405U 15.6 inch 4GB RAM, 1TB HDD Black HD Thin & Light Laptop","https://www.primeabgb.com/online-price-reviews-india/lenovo-ideapad-s145-pentium-gold-5405u-15-6-inch-4gb-ram-1tb-hdd-black-hd-thin-light-laptop/"
"1597509391-4752","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/78/?post_type=product&taxonomy=product_cat&s","GIGABYTE Radeon RX 560 Gaming OC 4GB GV-RX560OC-4GD rev2.0 Graphic Card","₹14,500 ₹8,350","Sold Out","GIGABYTE Radeon RX 560 Gaming OC 4GB GV-RX560OC-4GD rev2.0 Graphic Card","https://www.primeabgb.com/online-price-reviews-india/gigabyte-radeon-rx-560-gaming-oc-4gb-graphic-card/"
"1597510610-6933","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/5/?post_type=product&taxonomy=product_cat&s","Gigabyte Radeon RX 5500 XT OC 8G 8GB GDDR6 Gaming Graphic Card GV-R55XTOC-8GD","₹32,150 ₹18,100","Sold Out","Gigabyte Radeon RX 5500 XT OC 8G 8GB GDDR6 Gaming Graphic Card GV-R55XTOC-8GD","https://www.primeabgb.com/online-price-reviews-india/gigabyte-radeon-rx-5500-xt-oc-8g-8gb-gddr6-gaming-graphic-card-gv-r55xtoc-8gd/"
"1597509033-4098","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/99/?post_type=product&taxonomy=product_cat&s","Corsair Carbide Series SPEC 02 RED Mid-Tower Gaming Cabinet","₹4,293 ₹4,132","Sold Out","Corsair Carbide Series SPEC 02 RED Mid-Tower Gaming Cabinet","https://www.primeabgb.com/online-price-reviews-india/corsair-carbide-series-spec-02-red-led-mid-tower-gaming-cabinet/"
"1597510031-5888","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/40/?post_type=product&taxonomy=product_cat&s","G.skill Trident Z Royal Gold Series 32GB (4x8GB) 3600 MHz DDR4 Memory F4-3600C18Q-32GTRG","₹31,700 ₹25,360","Sold Out","G.skill Trident Z Royal Gold Series 32GB (4x8GB) 3600 MHz DDR4 Memory F4-3600C18Q-32GTRG","https://www.primeabgb.com/online-price-reviews-india/g-skill-trident-z-royal-gold-series-32gb-4x8gb-3600-mhz-ddr4-memory-f4-3600c18q-32gtrg/"
