web-scraper-order,web-scraper-start-url,name,price,instock,link,link-href
"1597509001-3074","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE 240GB SATA 6.0GB/S SSD","₹2,700","Out Of Stock","","https://www.vedantcomputers.com/products/ssd-gigabyte-240gb-sata-6-0gb-s"
"1597509001-3321","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","INTEL CORE I7-10700K 10TH GENERATION PROCESSOR (16M CACHE, UP TO 5.10 GHZ)","₹37,200","null","","https://www.vedantcomputers.com/products?product_id=3352"
"1597509001-3520","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","MSI GEFORCE RTX 2080 VENTUS 8G OC GDDR6","₹72,100","Out Of Stock","","https://www.vedantcomputers.com/products/msi-geforce-rtx-2080-ventus-8g-oc-gddr6"
"1597509001-3930","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GAMING GEFORCE RTX 2080 AMP 8GB GDDR6","₹73,500 ₹64,100","Out Of Stock","","https://www.vedantcomputers.com/products/zotac-gaming-geforce-rtx-2080-amp-8gb-gddr6"
"1597509001-2370","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS CERBERUS GAMING HEADSET","₹4,030","Out Of Stock","","https://www.vedantcomputers.com/products/asus-cerberus-headset"
"1597509001-2565","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CIRCLE DESIRE D3 WITH SMPS (BLACK)","₹2,040","Out Of Stock","null",""
"1597509001-3297","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","INTEL CORE I3-10100 10TH GENERATION PROCESSOR (6M CACHE, UP TO 4.30 GHZ)","₹12,299","null","","https://www.vedantcomputers.com/products?product_id=3224"
"1597509001-3081","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE AORUS AC300W MID TOWER ATX (BLACK)","₹7,400","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=1740"
"1597509001-3833","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","THERMALTAKE TOUGHPOWER GRAND RGB 850W GOLD FULL MODULAR POWER SUPPLY","₹10,850","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3099"
"1597509001-3797","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","SEAGATE BACKUP PLUS SLIM 2TB PORTABLE STORAGE DRIVE USB 3.0 GOLD EXTERNAL HDD","₹5,850","Out Of Stock","null",""
